Stock Final Price,Stock Total Value,Money,Assets,Savings,Number of Stocks, Minimum Performance, Maximum Performance,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10
 , , , , , , , ,1032.66,1002.67,1219.02,1072.7,1033.49,1055.88,1001.35,1070.61,1051.26,1020.65
 , , , , , , , ,1021.25,987.048,1228.97,1089.4,1030.25,1050.61,1011.58,1074.46,1039.23,1031.45
 , , , , , , , ,1042.53,992.794,1239.64,1097.2,1027.24,1034.72,1032.67,1059.98,1039.74,1029.73
 , , , , , , , ,1042.77,997.746,1257.14,1094.29,1021.67,1047.07,1031.72,1055.75,1023.97,1018.23
 , , , , , , , ,1059,993.513,1255.66,1092.04,1021.29,1041.95,1023.13,1071.21,1018.97,1014.74
 , , , , , , , ,1052.15,1009.19,1262.96,1096.33,997.524,1056.25,1030.55,1077.76,994.075,1028.35
 , , , , , , , ,1055.45,1017.75,1262.3,1117.58,996.357,1069.38,1037.56,1075.1,1002.56,1033.76
 , , , , , , , ,1054.01,1017.91,1268.5,1120.09,1005.76,1058.59,1042.44,1075.39,1002.89,1040.82
 , , , , , , , ,1052.45,1011.67,1283.03,1116.81,1001.32,1057.27,1046.72,1088.51,1017.58,1026.51
 , , , , , , , ,1058.99,1015.17,1269.96,1104.06,986.8,1046.63,1058.67,1078.46,1026.71,1017.71
 , , , , , , , ,1059.9,1032.25,1283.85,1110.81,1004.61,1053.15,1077.52,1059.74,1017.18,1009.85
 , , , , , , , ,1047.23,1025.8,1290.91,1130.78,1015.1,1032.94,1076.72,1062.53,1025.65,1015.28
 , , , , , , , ,1046.94,1030.44,1300.38,1143.3,998.75,1025,1076.09,1058.73,1029.69,990.784
 , , , , , , , ,1046.25,1036.44,1299.01,1159.58,985.928,1008.7,1070.22,1058.7,1027.6,992.913
 , , , , , , , ,1059.37,1032.09,1293.18,1175.97,987.347,1017.86,1063.03,1040.88,1025.58,995.122
 , , , , , , , ,1069.43,1042.68,1291.7,1162.88,977.017,1038.46,1066.64,1050.63,1016.98,1001.09
 , , , , , , , ,1055.5,1042.42,1305.37,1185.07,960.723,1033.54,1059.57,1041.78,1012.63,1006.87
 , , , , , , , ,1055.16,1051.5,1298.65,1196.04,974.606,1033.22,1048.94,1036.98,1019.74,1020.35
 , , , , , , , ,1069.95,1045.44,1292.3,1194.96,978.568,1057.01,1047.15,1036.31,1021.24,1025.91
 , , , , , , , ,1063.26,1048.24,1284.82,1190.06,976.153,1064.16,1053.45,1040.46,1032.29,1030.58
 , , , , , , , ,1070.95,1044.44,1294.87,1174.88,992.033,1034.76,1048.01,1032.04,1028.31,1046.81
 , , , , , , , ,1069.97,1047.19,1310.23,1177.79,998.808,1052.51,1045.64,1032.82,1015.89,1034.98
 , , , , , , , ,1074.92,1046.74,1312.12,1185.38,1016.34,1059.19,1047.53,1038.97,1018.32,1029.35
 , , , , , , , ,1062.35,1036.24,1315.66,1186.87,1016.36,1055.12,1055.62,1048.6,1023.13,1021
 , , , , , , , ,1055.83,1036.09,1325.7,1201.12,1029.35,1053.93,1051.33,1045.13,1003.73,1027.19
 , , , , , , , ,1042.47,1043.86,1329.04,1194.92,1029.29,1030.53,1034.57,1038.55,1011.7,1025.92
 , , , , , , , ,1055.2,1062.75,1332.58,1208.61,1024.85,1039.8,1036.84,1050.33,1015.09,1026.65
 , , , , , , , ,1058.1,1070.44,1343.28,1221.83,1025.42,1034.19,1041.77,1044.56,1015.31,1022.98
 , , , , , , , ,1058.41,1060.78,1344.97,1213.57,1044.36,1046.75,1038.34,1043.14,1027.99,1041.08
 , , , , , , , ,1063.7,1065.3,1335.34,1220.55,1060.97,1051.14,1039.99,1034.5,1029.35,1042.58
 , , , , , , , ,1063.65,1058.84,1338.66,1213.65,1065.48,1049.3,1054.99,1033.78,1026.14,1043.02
 , , , , , , , ,1078.93,1056.51,1359.03,1221.78,1050.45,1043.22,1055.35,1037.77,1033.49,1050.53
 , , , , , , , ,1072.1,1066.35,1349.57,1238.74,1068.37,1044.89,1054.64,1049.3,1031.49,1053.58
 , , , , , , , ,1075.73,1066.19,1347.69,1230.81,1069.72,1038.58,1059.38,1036.31,1031.76,1052.64
 , , , , , , , ,1059.43,1059.34,1348.52,1234.15,1084.38,1053.08,1047.26,1038.47,1022.36,1055.65
 , , , , , , , ,1054.13,1075.55,1338.75,1238.71,1103.39,1047.52,1056.13,1041.35,1023.58,1071.46
 , , , , , , , ,1029.38,1082.23,1344.11,1241.59,1092.07,1049.89,1049.82,1039.89,1024.39,1072.07
 , , , , , , , ,1039.6,1075.71,1339.31,1248.02,1085.22,1045.67,1050.22,1024.15,1021.3,1081.31
 , , , , , , , ,1032.75,1071.61,1356.59,1262.9,1068.66,1036.15,1051.18,1007.29,1024.65,1085.03
 , , , , , , , ,1034.79,1053.81,1339.22,1264.88,1078.93,1025.5,1054.34,1010.24,1033.66,1085.18
 , , , , , , , ,1036.01,1048.44,1345.59,1248.7,1078.2,1035.59,1058.29,1007.28,1027.72,1080.27
 , , , , , , , ,1036.16,1040.54,1330.68,1246.36,1079.01,1030,1048.04,1008.46,1046.25,1080.59
 , , , , , , , ,1054.38,1051.84,1340.89,1250.05,1078.19,1022.75,1058.49,1003.16,1051.52,1068.57
 , , , , , , , ,1062.62,1050.26,1332.14,1241.64,1081.58,1037.56,1062.35,995.118,1038.42,1079.35
 , , , , , , , ,1037.45,1051.03,1328.85,1237.94,1098.37,1031.11,1063.76,991.682,1039.51,1083.89
 , , , , , , , ,1028.68,1031.19,1335.64,1222.84,1106.67,1024.8,1063.23,988.583,1061.99,1081.92
 , , , , , , , ,1041.15,1045.93,1354.04,1228.21,1093.29,1027.06,1064.58,980.224,1063.87,1081.38
 , , , , , , , ,1038.97,1053.96,1342.66,1223.65,1097.89,1037.82,1071.63,981.85,1082.14,1074.35
 , , , , , , , ,1055.96,1054.9,1355.1,1214.65,1089.85,1048.35,1073.81,971.549,1083.71,1062.52
 , , , , , , , ,1071.36,1059.34,1354.43,1218.1,1095.43,1061.9,1086.56,979.456,1083.46,1059.99
 , , , , , , , ,1081.15,1062.65,1357.18,1208.24,1083.02,1064.65,1102.36,973.864,1103.9,1091.47
 , , , , , , , ,1084.4,1062.57,1341.31,1216.87,1100.08,1061.86,1098.5,964.841,1089.65,1087.82
 , , , , , , , ,1089.69,1061.38,1331.4,1223.47,1104.16,1067.49,1102.25,959.055,1069.13,1080.28
 , , , , , , , ,1083.14,1074.81,1337.63,1225,1127.18,1065.99,1099.23,965.328,1074.24,1082.25
 , , , , , , , ,1092.13,1087.37,1345.62,1225.48,1138.13,1072.07,1096.65,945.515,1090.62,1086.05
 , , , , , , , ,1090.8,1088.83,1339.89,1210,1146.54,1069.45,1096.58,949.056,1095.89,1077.58
 , , , , , , , ,1076.82,1073.12,1348.56,1205.77,1149.77,1087.15,1097.15,934.364,1120.12,1072.74
 , , , , , , , ,1076.29,1064.08,1352.72,1206.75,1138.72,1097.12,1080.71,924.81,1118.21,1072.32
 , , , , , , , ,1081.81,1064.26,1355.24,1214.97,1148.39,1096.07,1080.19,927.298,1131.79,1061.11
 , , , , , , , ,1082.65,1066.52,1355.81,1212.05,1138.32,1104.87,1063.6,935.432,1140.86,1062.25
 , , , , , , , ,1062.04,1073.03,1363.28,1225.29,1133.47,1097.48,1064.65,928.816,1151.65,1078.87
 , , , , , , , ,1069.28,1071.46,1374.44,1213.43,1154.88,1115.1,1058.42,918.867,1145.96,1091.42
 , , , , , , , ,1058.12,1066.56,1355.47,1211.64,1147.53,1114.33,1063.3,920.943,1153.83,1087.74
 , , , , , , , ,1053.79,1081.08,1371.43,1219.11,1156.09,1129.8,1076.03,925.25,1141.11,1084.04
 , , , , , , , ,1053.64,1075.07,1380.4,1229.62,1152.69,1116.65,1079.19,926.855,1141.88,1096.87
 , , , , , , , ,1058.05,1053.61,1381.11,1225.86,1131.28,1093.38,1067.89,939.674,1128.92,1104.42
 , , , , , , , ,1072.99,1047.73,1380.79,1227.5,1134.71,1095.42,1060.75,935.931,1120.57,1109.42
 , , , , , , , ,1079.34,1039.04,1370.22,1214.78,1139.36,1089.14,1042.34,953.05,1127.66,1109.23
 , , , , , , , ,1083.92,1051.8,1360.28,1201.06,1149.23,1093.42,1047.15,933.611,1121.77,1094.05
 , , , , , , , ,1093.42,1054.61,1355.14,1209.79,1140.97,1094.81,1038.03,943.467,1127.98,1093.03
 , , , , , , , ,1077.54,1062.72,1347.25,1189.61,1148.18,1077.39,1029.86,958.041,1123.44,1093.36
 , , , , , , , ,1073.63,1054.32,1338.77,1200.71,1143.81,1067.29,1039.45,952.807,1114.47,1086.92
 , , , , , , , ,1059.86,1057.49,1345.99,1206.59,1158.27,1052.93,1038.09,954.199,1118.08,1091.35
 , , , , , , , ,1045.85,1066.34,1349.84,1222.15,1162.5,1050.29,1041.53,964.131,1117.27,1082.85
 , , , , , , , ,1055.07,1072.06,1331.31,1204.36,1170.39,1054.38,1044.92,946.249,1117.47,1094.53
 , , , , , , , ,1052.51,1068.91,1334.25,1224.9,1157.74,1058.42,1068.46,955.008,1134.15,1095.38
 , , , , , , , ,1053.06,1068.64,1335.71,1241.88,1157.89,1038.28,1068.65,951.529,1126.08,1091.1
 , , , , , , , ,1040.74,1060.72,1340.24,1245.22,1163.96,1030.29,1069.3,941.827,1126.9,1084.37
 , , , , , , , ,1040.01,1050.43,1329.69,1232.95,1160.51,1021.2,1050.79,958.344,1130.01,1084.57
 , , , , , , , ,1040.4,1051.67,1338.95,1221.86,1157.15,1021.86,1051.76,960.686,1132.31,1089.18
 , , , , , , , ,1040.71,1037.58,1332.3,1219.06,1154.99,1021.26,1032.4,951.696,1120.82,1092.93
 , , , , , , , ,1051.2,1024.94,1332.3,1215.89,1161.43,1021.85,1022.19,930.144,1140.01,1112.88
 , , , , , , , ,1042.94,1023.31,1330.38,1223.47,1161.7,1027.52,1030.32,937.209,1143.99,1117.52
 , , , , , , , ,1034.83,1029.49,1330.84,1243.6,1170.45,1029.04,1032.12,931.021,1159.39,1124.7
 , , , , , , , ,1027.21,1037.04,1325.22,1245.07,1179.7,1021.18,1031.16,936.197,1175.11,1140.39
 , , , , , , , ,1035.89,1040.33,1314.09,1245.82,1182.19,1022.13,1025.38,924.911,1162.75,1138.93
 , , , , , , , ,1005.39,1028.33,1321.66,1242.54,1185.64,1038.11,1022.55,933.688,1166.3,1149.02
 , , , , , , , ,999.56,1035.56,1316.64,1242.67,1177.94,1027.6,1029.47,929.937,1164.25,1140.68
 , , , , , , , ,997.757,1028.12,1312.03,1237.59,1155.75,1026.55,1007.1,947.477,1174.7,1139.25
 , , , , , , , ,1019.84,1027.24,1304.47,1247.58,1151.48,1043.48,1001.3,945.236,1176.47,1132.51
 , , , , , , , ,1037.06,1021.61,1287.63,1247.95,1162.5,1056.28,1000.67,939.254,1156.57,1123.97
 , , , , , , , ,1039.61,1001.17,1278.98,1247.76,1140.2,1052.12,1012.43,944.385,1164.38,1112.81
 , , , , , , , ,1043.52,1005.17,1271.96,1249.75,1145.87,1046.88,1018.5,955.163,1169.5,1110.5
 , , , , , , , ,1040.34,1010.58,1262.45,1241,1139.65,1047.55,1011.03,966.155,1169.89,1116.25
 , , , , , , , ,1038.37,1002.03,1262.81,1245.51,1136.14,1050.69,997.442,967.7,1181.01,1110.91
